AQI,CO,PM10,PM25
,170.6,58.8,47
,158.7,56.3,45
,150.2,52.5,42
,141.6,56.3,45
,133.1,52.5,42
,146.7,48.8,39
,160.3,43.8,35
,173.9,50,40
,157.4,53.8,43
,140.8,58.8,47
,124.3,60,48
98.24154084,122.2,70,56
99.66165917,120,63.8,51
112.1833477,117.9,81.3,65
115.8001787,122.9,77.5,62
112.3585151,128,68.8,55
109.7369953,133.1,67.5,54
104.4783394,165.7,61.3,49
102.0462094,198.4,60,48
92.50371383,231.1,48.8,39
94.71269965,242.6,61.3,49
123.1721612,254.1,101.3,81
126.5901506,265.5,85,68
137.4664225,287.3,98.8,79
130.4025234,309.1,80,64
130.2018722,330.9,85,68
131.7692308,361.6,87.5,70
150.7395779,392.4,116.3,93
153.5871272,423.1,111.3,89
155.3685679,467.7,112.5,90
161.6178266,512.2,131.3,105
166.5293912,556.8,137.5,110
171.3793128,434.4,148.8,119
171.0773635,312,136.3,109
163.3199991,189.7,107.5,86
155.512263,178.2,93.8,75
148.5170595,166.7,83.8,67
139.6965402,155.2,83.8,67
120.7281237,158.4,66.3,53
112.8559219,161.5,66.3,53
113.0883191,164.6,72.5,58
113.2043142,277.4,72.5,58
124.0952381,390.2,88.8,71
147.043956,503.1,115,92
157.5794523,440.2,128.8,103
164.146869,377.4,136.3,109
161.3596721,314.6,115,92
160.6814931,271.2,117.5,94
165.3443223,227.8,135,108
173.7486482,184.4,156.3,125
176.8803419,179.2,152.5,122
177.0172684,173.9,147.5,118
177.4425257,168.7,148.8,119
180.3126783,194.3,160,128
188.3210032,220,190,152
187.8832744,245.7,165,132
177.435846,224.9,120,96
178.1742558,204.1,151.3,121
176.5033508,183.3,141.3,113
173.1494867,172.6,130,104
162.4082579,161.9,102.5,82
146.5689866,151.2,75,60
132.4387464,146.7,76.3,61
117.8726089,142.2,65,52
104.7545788,137.7,56.3,45
93.83150183,150,51.3,41
85.88815629,162.2,48.8,39
95.92478632,174.5,66.3,53
105.7944648,182.7,73.8,59
112.8852259,190.8,77.5,62
130.6023606,199,98.8,79
136.1286121,188.7,93.8,75
140.5632886,178.4,96.3,77
144.4521775,168.1,98.8,79
145.5628816,158.9,97.5,78
146.1200651,149.8,97.5,78
127.2287342,140.6,68.8,55
129.4533985,134.4,86.3,69
116.3176345,128.2,58.8,47
110.3804051,122,63.8,51
110.2223267,123.9,70,56
106.0656765,125.9,62.5,50
96.84411615,127.8,53.8,43
89.29070743,128.6,51.3,41
90.58251958,129.4,57.5,46
103.8104383,130.1,75,60
104.36592,132.7,66.3,53
93.05494445,135.2,48.8,39
86.49450932,137.7,48.8,39
100.4074497,163.4,76.3,61
103.8924112,189.1,70,56
104.9014134,214.8,67.5,54
107.9480677,222.9,72.5,58
116.0949221,231.1,82.5,66
130.3480345,239.3,95,76
131.8092523,246.5,87.5,70
136.6161052,253.7,93.8,75
124.4688561,260.9,71.3,57
110.9322265,256.8,60,48
108.859632,252.7,67.5,54
112.4343416,248.6,72.5,58
108.4424677,287.5,63.8,51
107.7832581,326.4,67.5,54
101.8498445,365.3,57.5,46
103.085356,299.4,66.3,53
107.7773457,233.4,73.8,59
122.7949577,167.5,96.3,77
123.00337,158.4,80,64
128.5000096,149.2,90,72
122.3953345,140.1,72.5,58
116.07135,143.8,67.5,54
122.3708248,147.5,86.3,69
126.1285899,151.2,86.3,69
137.4012669,168.3,101.3,81
161.3301936,185.4,147.5,118
166.0277342,202.5,136.3,109
180.5217164,182.5,178.8,143
166.3343799,162.4,103.8,83
119.045177,142.4,25,20
81.41636142,130.5,25,20
58.69499389,118.7,22.5,18
48.33797314,106.8,23.8,19
54.16312576,103.1,37.5,30
52.07081807,99.4,31.3,25
66.02832723,95.7,50,40
52.9992674,101.7,25,20
59.47887668,107.8,41.3,33
71.72307692,113.8,52.5,42
75.83638584,109.3,50,40
80.90842491,104.9,53.8,43
88.46105006,100.4,60,48
91.23711844,99.6,58.8,47
85.62393162,98.8,50,40
90.81904762,98,60,48
87.41245421,103.9,52.5,42
86.71062271,109.7,53.8,43
91.35726496,115.6,60,48
93.5303797,268.3,62.5,50
98.4550054,421,70,56
102.8835614,573.7,71.3,57
114.7327941,783.8,83.8,67
113.5165093,993.9,71.3,57
123.2193375,1204,88.8,71
153.1969301,1172.5,130,104
153.388104,1140.9,106.3,85
152.411303,1109.4,102.5,82
151.2089656,1090.9,100,80
138.0814001,1072.5,80,64
120.7081807,1054,65,52
125.3577534,1156.3,85,68
128.5148555,1258.6,86.3,69
133.4273504,1361,91.3,73
150.0221525,1006.5,112.5,90
162.5161347,652.1,143.8,115
156.6160823,297.6,101.3,81
145.2108262,271,81.3,65
123.4318274,244.3,63.8,51
108.3752544,217.7,57.5,46
100.013838,210.1,56.3,45
97.0041514,202.5,58.8,47
103.7525438,194.9,70,56
107.7073667,210.1,71.3,57
114.6857957,225.3,78.8,63
120.6748067,240.4,82.5,66
114.4969475,237.9,68.8,55
116.9172896,235.4,77.5,62
120.6547747,232.9,85,68
122.1244833,228,81.3,65
122.585422,223.1,80,64
130.6561801,218.3,93.8,75
130.0727688,215.7,85,68
131.1563849,213.2,91.3,73
131.8911444,210.7,87.5,70
142.083037,234,106.3,85
141.9743126,257.4,93.8,75
139.5287197,280.7,88.8,71
137.0116311,258.9,86.3,69
130.2363782,237.1,73.8,59
128.6152899,215.3,81.3,65
130.6070053,201.9,88.8,71
137.6748236,188.5,102.5,82
139.9283808,175.1,96.3,77
138.4402487,168.1,88.8,71
135.8262379,161.1,85,68
136.6124868,154.1,91.3,73
